name,trade,phone,website,address,rating,review_count,source
"Empire Conversions LTD","Builder","07772 879368","","15 Marigold Walk","4.7","11","Google Maps"
"Larkhall Construction","Builder","07765 286292","","3 Edgar Buildings George St","5.0","22","Google Maps"
"Bath Heritage Building ltd","Builder","01225 808446","","15 Acacia Grove","5.0","14","Google Maps"
"Marptree Design & Build limited","Builder","01225 805055","","3 Wellsway","4.3","29","Google Maps"
"Prince construction","Builder","07980 837028","","36 Pennyquick View","4.8","17","Google Maps"
"Crossman Homes (House Builder)","Builder","01225 471116","","1b London Rd","4.4","11","Google Maps"
"All Aspect Builders Bath Ltd","Builder","07950 434888","","14 Cotswold View","5.0","2","Google Maps"
"Gh Construction","Builder","07837 066693","","28 Poplar Cl","5.0","1","Google Maps"
"A & R Miles Ltd","Builder","01225 260360","","Unit 18 Brassmill Enterprise Centre Brassmill Ln","5.0","10","Google Maps"
"Bath Painters And Decorators","Painter Decorator","01225 690039","","Unit 5 Brassmill Enterprise Centre","4.8","75","Google Maps"
"SJ Blandini Painting & Specialist Decoration","Painter Decorator","07922 275587","","Avonwood Cottage 37A Bristol Rd","4.7","24","Google Maps"
"The Jolly Geordie Decorating Services","Painter Decorator","07360 071693","","140 Southlands","4.8","17","Google Maps"
"Avanti Decorators of Bath","Painter Decorator","07958 266694","","6 Gay St","4.8","21","Google Maps"
"New Decorating - Professional Painting and Decorating Services","Painter Decorator","07717 772881","","","5.0","10","Google Maps"
"Souza Decorating","Painter Decorator","07523 107152","","4 Lansdown Rd","5.0","57","Google Maps"
"HQPD GROUP. Painters And Decorators","Painter Decorator","07821 927750","","Flat 10 Albany Court","5.0","7","Google Maps"
"Simmonds Decorating","Painter Decorator","07895 883239","","2 Brunswick Pl","5.0","11","Google Maps"
"Vapor Clean Bristol","Cleaner","","","Pembroke Road","4.3","56","Google Maps"
"Lets Talk Dirty LTD","Cleaner","01225 946966","","67 Lower Bristol Road","5.0","36","Google Maps"
"Bath Specialist Cleaning Solutions","Cleaner","01225 466139","","98 Mount Rd","4.4","226","Google Maps"
"Bath Cleaning Services Limited","Cleaner","01225 941022","","Office 194 3 Edgar Buildings George St","5.0","15","Google Maps"
"Noble Cleans Bath","Cleaner","01225 375156","","20c Moorland Rd","5.0","53","Google Maps"
"House Cleaning Bath","Cleaner","07395 940248","","","4.9","16","Google Maps"
"Max e-Clean","Cleaner","07712 717955","","168 Haycombe Dr","5.0","55","Google Maps"
"The Fine Cleaning Company","Cleaner","","","Unit 3 Western House 2 Rush Hill","5.0","8","Google Maps"
"SmartWay Window Cleaning Bath","Cleaner","07701 351660","","44 Redland Park","5.0","49","Google Maps"
"Crescent Landscapes Ltd","Landscaper","01225 789990","","Freezinghill Lane","5.0","7","Google Maps"
"Selby Landscapes Limited","Landscaper","01225 571350","","Unit E Perry Storage","4.9","26","Google Maps"
"Baths Green Gardens ltd","Landscaper","","","21 Barrow Rd","5.0","31","Google Maps"
"The Bath Garden Company","Landscaper","","","21 Fairfield Ave","5.0","14","Google Maps"
"The Bath Landscape Gardener Ltd","Landscaper","01225 832332","","Quarry Cl","5.0","57","Google Maps"
"Jay Furze Garden Service","Landscaper","","","14 Chantry Mead Rd","4.0","19","Google Maps"
"Himalayan Landscaping Ltd","Landscaper","01225 975056","","150 Southdown Rd","4.8","4","Google Maps"
"Eaglestone Gardens","Landscaper","07834 855788","","83 Hillcrest Dr","4.7","12","Google Maps"
"Melanie Jackson Garden Design & Maintenance","Landscaper","","","1 Weatherly Ave","5.0","21","Google Maps"
"Magnet Kitchens","Kitchen Fitter","01225 335659","","6-7 Ivo Peters Road","","","Google Maps"
"Bath Kitchen Company","Kitchen Fitter","01225 312003","","3 Queen Square","5.0","12","Google Maps"
"Kitchens of Bath","Kitchen Fitter","01225 436545","","","4.7","14","Google Maps"
"Kelly Marie Kitchen Interiors","Kitchen Fitter","01225 481881","","8 Pulteney Ave","4.9","26","Google Maps"
"Perfect Space Carpentry","Kitchen Fitter","01225 310403","","Unit 4 Lymore Gardens","5.0","25","Google Maps"
"Nolte Kitchens Bath","Kitchen Fitter","01225 337276","","Nolte Kitchens 18 Newbridge Rd","4.0","1","Google Maps"
"Kutchenhaus Bath","Kitchen Fitter","01225 634025","","","5.0","46","Google Maps"
"Rolls Interiors limited","Kitchen Fitter","07963 242943","","3 Edgar Buildings","4.9","14","Google Maps"
"Hobson's Choice Bath Luxury Kitchens & Bathrooms","Kitchen Fitter","01225 433511","","","4.5","12","Google Maps"
"Total Bathrooms","Bathroom Fitter","01225 462727","","","4.9","581","Google Maps"
"JW Bathroom Solutions ltd","Bathroom Fitter","07807 554976","","120 Frome Rd","5.0","27","Google Maps"
"Absolute Bathrooms","Bathroom Fitter","07881 910891","","","5.0","9","Google Maps"
"Bathroom Revival","Bathroom Fitter","07583 070509","","Avenue Place","5.0","20","Google Maps"
"Rolls Interiors limited","Bathroom Fitter","07963 242943","","3 Edgar Buildings","4.9","14","Google Maps"
"Gem Solutions (Bath) Ltd","Bathroom Fitter","01225 690069","","St Georges Place","4.8","189","Google Maps"
"Esatto Projects Bath & Bristol","Bathroom Fitter","07471 238600","","","5.0","16","Google Maps"
"G4 Gas","Heating Engineer","01225 769828","","White Horse Business Park","4.8","28","Google Maps"
"Sustain Heating and Renewables Ltd.","Heating Engineer","","","Tweed Road","4.6","20","Google Maps"
"DSH Heating (& Plumbing)","Heating Engineer","07921 224617","","584 Wellsway","5.0","68","Google Maps"
"Ace Energy Plumbing Heating Electrical & Boiler Specialists","Heating Engineer","01225 729005","","2-3 Mile End London Rd","4.9","69","Google Maps"
"Phil Lauder Boiler & Heating Care","Heating Engineer","07308 160744","","Greenbank Gardens","5.0","107","Google Maps"
"Empire Heating Solutions","Heating Engineer","07766 501836","","9 Sheridan Rd","5.0","54","Google Maps"
"Walker Heating","Heating Engineer","07890 267980","","14 Mortimer Cl","5.0","36","Google Maps"
"C S Simpkins Heating & Gas Services","Heating Engineer","07710 564996","","35 Marsden Rd","5.0","51","Google Maps"
"Browne Gas and Heating Ltd","Heating Engineer","07899 817904","","10 Brookfield Park","4.8","25","Google Maps"
"Plastering Bath and Wells","Plasterer","07727 068891","","11 Marleys Way","5.0","174","Google Maps"
"L.A.H Plastering & Rendering Specialist","Plasterer","07525 756994","","18 Highfield Avenue","4.9","36","Google Maps"
"Plasterers Bath DSB Plastering & Wall Insulation","Plasterer","07437 217926","","35 The Green","5.0","110","Google Maps"
"SK PLASTERING LTD","Plasterer","07770 887951","","75-77 Walcot St","4.6","11","Google Maps"
"M S Baker Plastering & Rendering Services","Plasterer","07853 885463","","48 Chantry Mead Rd","5.0","33","Google Maps"
"SG Plastering & rendering Services bath","Plasterer","07771 356220","","117 Cotswold Rd","5.0","24","Google Maps"
"Select Plastering & Tiling","Plasterer","07771 653606","","23 Purlewent Dr","5.0","35","Google Maps"
"Bath Plasterwork","Plasterer","","","31 Victoria Buildings Lower Bristol Rd","4.5","2","Google Maps"
"RC Plastering services","Plasterer","07896 861889","","61 Cranmore Pl","5.0","2","Google Maps"
"G4 Gas","Gas Engineer","01225 769828","","White Horse Business Park","4.8","28","Google Maps"
"EMERGENCY PLUMBER 24-7","Gas Engineer","01225 240260","","Camden Rd","4.9","68","Google Maps"
"DSH Heating (& Plumbing)","Gas Engineer","07921 224617","","584 Wellsway","5.0","68","Google Maps"
"DME BATH LTD","Gas Engineer","01225 873946","","5 Meadlands","3.0","4","Google Maps"
"Ace Energy Plumbing Heating Electrical & Boiler Specialists","Gas Engineer","01225 729005","","2-3 Mile End London Rd","4.9","69","Google Maps"
"Phil Lauder Boiler & Heating Care","Gas Engineer","07308 160744","","Greenbank Gardens","5.0","107","Google Maps"
"C S Simpkins Heating & Gas Services","Gas Engineer","07710 564996","","35 Marsden Rd","5.0","51","Google Maps"
"Walker Heating","Gas Engineer","07890 267980","","14 Mortimer Cl","5.0","36","Google Maps"
"Browne Gas and Heating Ltd","Gas Engineer","07899 817904","","10 Brookfield Park","4.8","25","Google Maps"
"Empire Heating Solutions","Gas Engineer","07766 501836","","9 Sheridan Rd","5.0","54","Google Maps"
"Bristol Joinery Co","Carpenter","","","8 Station Road","5.0","4","Google Maps"
"SSC Carpentry Bath","Carpenter","07704 120667","","251 Haycombe Dr","5.0","37","Google Maps"
"Perfect Space Carpentry","Carpenter","01225 310403","","Unit 4 Lymore Gardens","5.0","25","Google Maps"
"Carpenters and Joiners in Bath","Carpenter","01225 334475","","3 Bennett St","","","Google Maps"
"Oliver Hazael Bespoke Carpentry","Carpenter","07813 068790","","","4.9","59","Google Maps"
"BPD Joinery","Carpenter","01225 690038","","Unit 5 Brassmill Enterprise Centre","5.0","5","Google Maps"
"Pollen Carpentry and Design","Carpenter","07772 199184","","48 St John's Rd","5.0","11","Google Maps"
"Elite Carpentry and Construction Ltd","Carpenter","07549 598533","","20C Moorland Rd","5.0","2","Google Maps"
"IAC SERVICES","Carpenter","07845 122649","","Home Farm","5.0","3","Google Maps"
"Topps Tiles Bath","Tiler","01225 423475","","4 Brassmill Lane","4.9","244","Google Maps"
"Select Plastering & Tiling","Tiler","07771 653606","","23 Purlewent Dr","5.0","35","Google Maps"
"Tile and Floor - Tiles & Flooring Bath","Tiler","01225 310561","","","4.6","52","Google Maps"
"Black Dog Tiles","Tiler","07741 926871","","Unit 4 Meadows Ln","5.0","319","Google Maps"
"Mandarin Stone Bath Somerset","Tiler","01225 460033","","","4.4","34","Google Maps"
"Esatto Projects - Bathroom Renovations Tiling Bath & Bristol","Tiler","07471 238600","","","5.0","16","Google Maps"
"Tapi Carpets & Floors","Tiler","","","Aldermoor Way","4.5","181","Google Maps"
"J Chandler Ceramic & Stone Tiling","Tiler","","","Eastfield Ave","5.0","1","Google Maps"
"Greenwood Surfacing Limited","Driveway Paving","01225 891518","","4 Queen St","4.6","37","Google Maps"
"RJS Groundworks","Driveway Paving","01225 374720","","28 Avon Park","5.0","41","Google Maps"
"C.Smith Paving And Landscaping","Driveway Paving","01225 314265","","Southdown Rd","5.0","17","Google Maps"
"NGS Resin Groundworks&Surfacing","Driveway Paving","07496 015607","","23 Cornishmen's Rd","4.9","31","Google Maps"
"Baths Green Gardens ltd","Driveway Paving","","","21 Barrow Rd","5.0","31","Google Maps"
"Avanti Surfacing LTD","Driveway Paving","07305 956955","","111 Holcombe Cl","5.0","10","Google Maps"
"NS Groundworks","Driveway Paving","07838 280610","","48 Rosewarn Cl","4.6","9","Google Maps"
"Imperial Driveway Solutions","Driveway Paving","","","16 Park St","","","Google Maps"
"Resin Driveways R Us Bath","Driveway Paving","01458 899130","","6 Middle Ln Upper East Hayes","","","Google Maps"
"NS Groundscapes Ltd","Driveway Paving","07838 280610","","Flat 5 Rodney House","5.0","","Google Maps"
